Prev_Theta1	Prev_Theta2	Start_Theta1	Start_Theta2	End_Theta1	End_Theta2	Torque1	Torque2
0.233363	0.333947	0.223117	0.322296	0.213271	0.310661	3.99	0.55
0.223117	0.322296	0.213271	0.310661	0.203886	0.299061	4.62	1.19
0.213271	0.310661	0.203886	0.299061	0.194927	0.287499	4.24	1.24
0.203886	0.299061	0.194927	0.287499	0.186303	0.276029	3.37	3.17
0.194927	0.287499	0.186303	0.276029	0.178012	0.264659	3.32	3.33
0.186303	0.276029	0.178012	0.264659	0.169995	0.253372	2.75	2.82
0.178012	0.264659	0.169995	0.253372	0.162246	0.242200	2.68	3.87
0.169995	0.253372	0.162246	0.242200	0.154878	0.231153	3.81	4.20
0.162246	0.242200	0.154878	0.231153	0.147883	0.220247	3.73	4.81
0.154878	0.231153	0.147883	0.220247	0.141130	0.209502	2.41	5.40
0.147883	0.220247	0.141130	0.209502	0.134687	0.198964	3.10	6.99
0.141130	0.209502	0.134687	0.198964	0.128498	0.188632	2.54	6.97
0.134687	0.198964	0.128498	0.188632	0.122617	0.178488	3.07	6.31
0.128498	0.188632	0.122617	0.178488	0.117050	0.168555	3.14	7.16
0.122617	0.178488	0.117050	0.168555	0.111741	0.158870	2.59	8.38
0.117050	0.168555	0.111741	0.158870	0.106694	0.149401	2.61	7.25
0.111741	0.158870	0.106694	0.149401	0.101840	0.140190	1.93	8.75
0.106694	0.149401	0.101840	0.140190	0.097206	0.131202	2.20	7.49
0.101840	0.140190	0.097206	0.131202	0.092813	0.122435	2.42	7.49
0.097206	0.131202	0.092813	0.122435	0.088630	0.113903	2.10	7.91
0.092813	0.122435	0.088630	0.113903	0.084617	0.105642	1.69	9.17
0.088630	0.113903	0.084617	0.105642	0.080750	0.097625	1.47	8.22
0.084617	0.105642	0.080750	0.097625	0.077083	0.089902	2.00	9.95
0.080750	0.097625	0.077083	0.089902	0.073564	0.082446	1.47	8.98
0.077083	0.089902	0.073564	0.082446	0.070224	0.075249	1.80	8.76
0.073564	0.082446	0.070224	0.075249	0.067029	0.068298	1.44	8.30
0.070224	0.075249	0.067029	0.068298	0.063998	0.061628	1.64	9.48
0.067029	0.068298	0.063998	0.061628	0.061111	0.055214	1.45	8.63
0.063998	0.061628	0.061111	0.055214	0.058368	0.049075	1.43	9.31
0.061111	0.055214	0.058368	0.049075	0.055752	0.043184	1.27	8.34
0.058368	0.049075	0.055752	0.043184	0.053231	0.037553	0.96	8.79
0.055752	0.043184	0.053231	0.037553	0.050806	0.032163	0.95	8.13
0.053231	0.037553	0.050806	0.032163	0.048467	0.027042	0.86	9.07
0.050806	0.032163	0.048467	0.027042	0.046230	0.022180	1.03	8.74
0.048467	0.027042	0.046230	0.022180	0.044112	0.017580	1.19	8.87
0.046230	0.022180	0.044112	0.017580	0.042106	0.013205	1.11	7.57
0.044112	0.017580	0.042106	0.013205	0.040189	0.009039	0.90	7.08
0.042106	0.013205	0.040189	0.009039	0.038355	0.005087	0.83	7.20
0.040189	0.009039	0.038355	0.005087	0.036611	0.001360	0.89	7.62
